Commodity Code,Commodity Name,Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,Unnamed: 7,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins,Year
78,265,0,1,0.917,0.095,1.012,0.0,3,3,1,4,1,2010
78,265,1,1,0.003,0.001,0.004,0.0,4,3,1,1,1,2010
78,265,2,1,0.0,0.0,0.0,0.0,4,3,1,3,1,2010
78,265,3,0,0.006,0.0,0.006,0.0,3,3,1,2,1,2010
79,41,0,1,0.818,0.056,0.874,0.0,3,3,1,4,1,2010
79,41,1,1,0.003,0.001,0.003,0.0,4,3,1,1,1,2010
79,41,2,1,0.0,0.0,0.0,0.0,4,3,1,3,1,2010
79,41,3,0,0.006,0.0,0.006,0.0,3,3,1,2,1,2010
80,42,0,1,0.523,0.034,0.557,0.0,3,3,1,4,1,2010
80,42,1,1,0.002,0.0,0.002,0.0,4,3,1,1,1,2010
80,42,2,1,0.0,0.0,0.0,0.0,4,3,1,3,1,2010
80,42,3,0,0.006,0.0,0.006,0.0,3,3,1,3,1,2010
81,266,0,1,0.418,0.056,0.474,0.0,3,3,1,4,1,2010
81,266,1,1,0.002,0.0,0.002,0.0,4,3,1,1,1,2010
81,266,2,1,0.0,0.0,0.0,0.0,4,3,1,3,1,2010
81,266,3,0,0.007,0.0,0.007,0.0,3,3,1,2,1,2010
82,342,0,1,0.423,0.05,0.474,0.0,3,3,1,4,1,2010
82,342,1,1,0.002,0.0,0.002,0.0,4,3,1,1,1,2010
82,342,2,1,0.0,0.0,0.0,0.0,4,3,1,3,1,2010
82,342,3,0,0.005,0.0,0.005,0.0,3,3,1,3,1,2010
83,311,0,1,0.48,0.172,0.652,0.0,3,3,1,3,1,2010
83,311,1,1,0.002,0.001,0.003,0.0,4,3,1,1,1,2010
83,311,2,1,0.0,0.0,0.0,0.0,4,3,1,3,1,2010
83,311,3,0,0.005,0.0,0.005,0.0,3,3,1,3,1,2010
84,10,0,1,0.389,0.059,0.448,0.0,3,3,1,4,1,2010
84,10,1,1,0.001,0.001,0.002,0.0,4,3,1,1,1,2010
84,10,2,1,0.0,0.0,0.0,0.0,4,3,1,3,1,2010
84,10,3,0,0.005,0.0,0.005,0.0,3,3,1,3,1,2010
85,32,0,1,0.312,0.052,0.364,0.0,3,3,1,4,1,2010
85,32,1,1,0.001,0.0,0.002,0.0,4,3,1,1,1,2010
85,32,2,1,0.0,0.0,0.0,0.0,4,3,1,3,1,2010
85,32,3,0,0.004,0.0,0.004,0.0,3,3,1,3,1,2010
86,293,0,1,0.23,0.033,0.263,0.0,3,3,1,3,1,2010
86,293,1,1,0.001,0.0,0.001,0.0,4,3,1,1,1,2010
86,293,2,1,0.0,0.0,0.0,0.0,4,3,1,3,1,2010
